metric_name,series_id,type,category,unit,frequency,value,period_date,release_date,monthly_change,annual_change
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,41.8,2015-09-01,,,
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,41.8,2015-10-01,,0.0,
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,41.8,2015-11-01,,0.0,
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,41.8,2015-12-01,,0.0,
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,41.9,2016-01-01,,0.23923444976076896,
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,41.8,2016-02-01,,-0.2386634844868769,
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,41.8,2016-03-01,,0.0,
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,41.8,2016-04-01,,0.0,
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,41.9,2016-05-01,,0.23923444976076896,
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,41.8,2016-06-01,,-0.2386634844868769,
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,42.0,2016-07-01,,0.4784688995215379,
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,41.8,2016-08-01,,-0.476190476190483,
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,41.9,2016-09-01,,0.23923444976076896,0.23923444976076896
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,42.0,2016-10-01,,0.2386634844868769,0.4784688995215379
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,41.9,2016-11-01,,-0.2380952380952415,0.23923444976076896
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,41.9,2016-12-01,,0.0,0.23923444976076896
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,41.9,2017-01-01,,0.0,0.0
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,41.9,2017-02-01,,0.0,0.23923444976076896
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,41.8,2017-03-01,,-0.2386634844868769,0.0
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,42.0,2017-04-01,,0.4784688995215379,0.4784688995215379
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,41.9,2017-05-01,,-0.2380952380952415,0.0
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,42.0,2017-06-01,,0.2386634844868769,0.4784688995215379
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,41.9,2017-07-01,,-0.2380952380952415,-0.2380952380952415
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,42.0,2017-08-01,,0.2386634844868769,0.4784688995215379
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,41.9,2017-09-01,,-0.2380952380952415,0.0
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,42.0,2017-10-01,,0.2386634844868769,0.0
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,42.1,2017-11-01,,0.2380952380952415,0.4773269689737538
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,41.8,2017-12-01,,-0.7125890736342144,-0.2386634844868769
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,41.9,2018-01-01,,0.23923444976076896,0.0
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,42.3,2018-02-01,,0.9546539379474906,0.9546539379474906
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,42.2,2018-03-01,,-0.2364066193853294,0.9569377990430759
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,42.4,2018-04-01,,0.47393364928908943,0.952380952380949
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,42.1,2018-05-01,,-0.707547169811314,0.4773269689737538
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,42.2,2018-06-01,,0.23752969121140477,0.476190476190483
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,42.2,2018-07-01,,0.0,0.7159904534606307
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,42.1,2018-08-01,,-0.23696682464455313,0.2380952380952415
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,42.0,2018-09-01,,-0.23752969121140477,0.2386634844868769
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,42.1,2018-10-01,,0.2380952380952415,0.2380952380952415
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,41.9,2018-11-01,,-0.47505938242280954,-0.47505938242280954
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,42.1,2018-12-01,,0.4773269689737538,0.717703349282307
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,42.0,2019-01-01,,-0.23752969121140477,0.2386634844868769
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,41.7,2019-02-01,,-0.7142857142857075,-1.4184397163120432
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,41.7,2019-03-01,,0.0,-1.1848341232227488
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,41.6,2019-04-01,,-0.23980815347722165,-1.886792452830182
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,41.6,2019-05-01,,0.0,-1.187648456057007
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,41.7,2019-06-01,,0.24038461538461878,-1.1848341232227488
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,41.5,2019-07-01,,-0.4796163069544433,-1.658767772511855
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,41.5,2019-08-01,,0.0,-1.425178147268412
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,41.5,2019-09-01,,0.0,-1.1904761904761905
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,41.4,2019-10-01,,-0.24096385542169016,-1.6627078384798166
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,41.4,2019-11-01,,0.0,-1.1933174224343674
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,41.4,2019-12-01,,0.0,-1.6627078384798166
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,41.3,2020-01-01,,-0.24154589371981022,-1.6666666666666736
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,41.5,2020-02-01,,0.48426150121066064,-0.4796163069544433
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,41.2,2020-03-01,,-0.7228915662650535,-1.1990407673860912
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,38.4,2020-04-01,,-6.796116504854378,-7.692307692307699
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,39.4,2020-05-01,,2.604166666666667,-5.288461538461545
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,39.9,2020-06-01,,1.2690355329949239,-4.316546762589938
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,40.7,2020-07-01,,2.0050125313283313,-1.9277108433734873
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,41.0,2020-08-01,,0.7371007371007301,-1.2048192771084338
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,41.2,2020-09-01,,0.4878048780487874,-0.7228915662650535
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,41.4,2020-10-01,,0.4854368932038731,0.0
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,41.3,2020-11-01,,-0.24154589371981022,-0.24154589371981022
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,41.5,2020-12-01,,0.48426150121066064,0.24154589371981022
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,41.6,2021-01-01,,0.24096385542169016,0.726392251815991
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,41.4,2021-02-01,,-0.48076923076923755,-0.24096385542169016
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,41.6,2021-03-01,,0.48309178743962045,0.9708737864077635
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,41.6,2021-04-01,,0.0,8.333333333333341
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,41.5,2021-05-01,,-0.24038461538461878,5.329949238578684
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,41.3,2021-06-01,,-0.4819277108433803,3.5087719298245577
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,41.5,2021-07-01,,0.48426150121066064,1.9656019656019585
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,41.4,2021-08-01,,-0.24096385542169016,0.9756097560975575
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,41.4,2021-09-01,,0.0,0.4854368932038731
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,41.3,2021-10-01,,-0.24154589371981022,-0.24154589371981022
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,41.5,2021-11-01,,0.48426150121066064,0.48426150121066064
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,41.5,2021-12-01,,0.0,0.0
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,41.2,2022-01-01,,-0.7228915662650535,-0.9615384615384581
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,41.5,2022-02-01,,0.7281553398058184,0.24154589371981022
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,41.5,2022-03-01,,0.0,-0.24038461538461878
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,41.3,2022-04-01,,-0.4819277108433803,-0.7211538461538564
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,41.1,2022-05-01,,-0.48426150121064343,-0.9638554216867437
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,40.9,2022-06-01,,-0.4866180048661869,-0.9685230024213041
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,41.0,2022-07-01,,0.24449877750611593,-1.2048192771084338
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,40.9,2022-08-01,,-0.2439024390243937,-1.2077294685990339
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,41.0,2022-09-01,,0.24449877750611593,-0.9661835748792237
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,41.0,2022-10-01,,0.0,-0.7263922518159738
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,40.9,2022-11-01,,-0.2439024390243937,-1.445783132530124
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,40.6,2022-12-01,,-0.7334963325183305,-2.168674698795177
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,41.0,2023-01-01,,0.9852216748768439,-0.4854368932038904
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,40.7,2023-02-01,,-0.7317073170731638,-1.9277108433734873
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,40.6,2023-03-01,,-0.24570024570024918,-2.168674698795177
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,40.7,2023-04-01,,0.2463054187192153,-1.4527845036319476
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,40.7,2023-05-01,,0.0,-0.9732360097323567
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,40.7,2023-06-01,,0.0,-0.48899755501221454
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,40.7,2023-07-01,,0.0,-0.7317073170731638
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,40.7,2023-08-01,,0.0,-0.48899755501221454
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,40.7,2023-09-01,,0.0,-0.7317073170731638
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,40.8,2023-10-01,,0.24570024570023172,-0.4878048780487874
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,40.6,2023-11-01,,-0.49019607843136215,-0.7334963325183305
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,40.3,2023-12-01,,-0.7389162561576459,-0.7389162561576459
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,40.2,2024-01-01,,-0.24813895781636308,-1.951219512195115
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,40.6,2024-02-01,,0.9950248756218869,-0.24570024570024918
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,40.6,2024-03-01,,0.0,0.0
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,40.6,2024-04-01,,0.0,-0.24570024570024918
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,40.9,2024-05-01,,0.7389162561576285,0.4914004914004809
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,40.8,2024-06-01,,-0.24449877750611593,0.24570024570023172
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,40.6,2024-07-01,,-0.49019607843136215,-0.24570024570024918
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,40.7,2024-08-01,,0.2463054187192153,0.0
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,40.7,2024-09-01,,0.0,0.0
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,40.5,2024-10-01,,-0.49140049140049835,-0.7352941176470519
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,40.7,2024-11-01,,0.4938271604938342,0.2463054187192153
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,40.9,2024-12-01,,0.4914004914004809,1.4888337468982666
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,40.7,2025-01-01,,-0.48899755501221454,1.243781094527363
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,41.0,2025-02-01,,0.7371007371007301,0.9852216748768439
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,41.1,2025-03-01,,0.2439024390243937,1.231527093596059
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,40.9,2025-04-01,,-0.4866180048661869,0.7389162561576285
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,41.0,2025-05-01,,0.24449877750611593,0.24449877750611593
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,41.0,2025-06-01,,0.0,0.4901960784313796
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,41.0,2025-07-01,,0.0,0.9852216748768439
Continuing Claims,CCSA,Labor Market,Employment,Thousands of Persons,Weekly,2256000,2015-08-15,,,
Continuing Claims,CCSA,Labor Market,Employment,Thousands of Persons,Weekly,2252000,2015-08-22,,-0.1773049645390071,
Continuing Claims,CCSA,Labor Market,Employment,Thousands of Persons,Weekly,2258000,2015-08-29,,0.2664298401420959,
Continuing Claims,CCSA,Labor Market,Employment,Thousands of Persons,Weekly,2243000,2015-09-05,,-0.6643046944198405,
Continuing Claims,CCSA,Labor Market,Employment,Thousands of Persons,Weekly,2255000,2015-09-12,,0.5349977708426215,
Continuing Claims,CCSA,Labor Market,Employment,Thousands of Persons,Weekly,2234000,2015-09-19,,-0.9312638580931265,
Continuing Claims,CCSA,Labor Market,Employment,Thousands of Persons,Weekly,2240000,2015-09-26,,0.26857654431512984,
Continuing Claims,CCSA,Labor Market,Employment,Thousands of Persons,Weekly,2207000,2015-10-03,,-1.4732142857142856,
Continuing Claims,CCSA,Labor Market,Employment,Thousands of Persons,Weekly,2214000,2015-10-10,,0.31717263253285005,
Continuing Claims,CCSA,Labor Market,Employment,Thousands of Persons,Weekly,2194000,2015-10-17,,-0.9033423667570009,
Continuing Claims,CCSA,Labor Market,Employment,Thousands of Persons,Weekly,2218000,2015-10-24,,1.0938924339106655,
Continuing Claims,CCSA,Labor Market,Employment,Thousands of Persons,Weekly,2205000,2015-10-31,,-0.5861136158701533,
Continuing Claims,CCSA,Labor Market,Employment,Thousands of Persons,Weekly,2209000,2015-11-07,,0.18140589569160998,-2.083333333333333
Continuing Claims,CCSA,Labor Market,Employment,Thousands of Persons,Weekly,2185000,2015-11-14,,-1.0864644635581713,-2.975133214920071
Continuing Claims,CCSA,Labor Market,Employment,Thousands of Persons,Weekly,2181000,2015-11-21,,-0.1830663615560641,-3.4100974313551817
Continuing Claims,CCSA,Labor Market,Employment,Thousands of Persons,Weekly,2259000,2015-11-28,,3.576341127922971,0.7133303611234953
Continuing Claims,CCSA,Labor Market,Employment,Thousands of Persons,Weekly,2242000,2015-12-05,,-0.7525453740593183,-0.5764966740576497
Continuing Claims,CCSA,Labor Market,Employment,Thousands of Persons,Weekly,2190000,2015-12-12,,-2.31935771632471,-1.9695613249776187
Continuing Claims,CCSA,Labor Market,Employment,Thousands of Persons,Weekly,2176000,2015-12-19,,-0.6392694063926941,-2.857142857142857
Continuing Claims,CCSA,Labor Market,Employment,Thousands of Persons,Weekly,2207000,2015-12-26,,1.4246323529411764,0.0
Continuing Claims,CCSA,Labor Market,Employment,Thousands of Persons,Weekly,2218000,2016-01-02,,0.4984141368373357,0.18066847335140018
Continuing Claims,CCSA,Labor Market,Employment,Thousands of Persons,Weekly,2190000,2016-01-09,,-1.2623985572587917,-0.18231540565177756
Continuing Claims,CCSA,Labor Market,Employment,Thousands of Persons,Weekly,2221000,2016-01-16,,1.4155251141552512,0.1352569882777277
Continuing Claims,CCSA,Labor Market,Employment,Thousands of Persons,Weekly,2199000,2016-01-23,,-0.9905447996398019,-0.27210884353741494
Continuing Claims,CCSA,Labor Market,Employment,Thousands of Persons,Weekly,2210000,2016-01-30,,0.5002273760800363,0.04526935264825713
Continuing Claims,CCSA,Labor Market,Employment,Thousands of Persons,Weekly,2213000,2016-02-06,,0.13574660633484162,1.2814645308924484
Continuing Claims,CCSA,Labor Market,Employment,Thousands of Persons,Weekly,2206000,2016-02-13,,-0.3163126976954361,1.1462631820265932
Continuing Claims,CCSA,Labor Market,Employment,Thousands of Persons,Weekly,2203000,2016-02-20,,-0.1359927470534905,-2.478972996901284
Continuing Claims,CCSA,Labor Market,Employment,Thousands of Persons,Weekly,2180000,2016-02-27,,-1.0440308669995462,-2.7653880463871543
Continuing Claims,CCSA,Labor Market,Employment,Thousands of Persons,Weekly,2203000,2016-03-05,,1.0550458715596331,0.593607305936073
Continuing Claims,CCSA,Labor Market,Employment,Thousands of Persons,Weekly,2163000,2016-03-12,,-1.8157058556513845,-0.5974264705882353
Continuing Claims,CCSA,Labor Market,Employment,Thousands of Persons,Weekly,2138000,2016-03-19,,-1.155802126675913,-3.1264159492523786
Continuing Claims,CCSA,Labor Market,Employment,Thousands of Persons,Weekly,2165000,2016-03-26,,1.262862488306829,-2.3895401262398557
Continuing Claims,CCSA,Labor Market,Employment,Thousands of Persons,Weekly,2151000,2016-04-02,,-0.6466512702078522,-1.7808219178082192
Continuing Claims,CCSA,Labor Market,Employment,Thousands of Persons,Weekly,2139000,2016-04-09,,-0.5578800557880056,-3.692030616839262
Continuing Claims,CCSA,Labor Market,Employment,Thousands of Persons,Weekly,2135000,2016-04-16,,-0.18700327255726976,-2.910413824465666
Continuing Claims,CCSA,Labor Market,Employment,Thousands of Persons,Weekly,2137000,2016-04-23,,0.09367681498829039,-3.30316742081448
Continuing Claims,CCSA,Labor Market,Employment,Thousands of Persons,Weekly,2183000,2016-04-30,,2.152550304164717,-1.3556258472661544
Continuing Claims,CCSA,Labor Market,Employment,Thousands of Persons,Weekly,2185000,2016-05-07,,0.09161704076958314,-0.9519492293744334
Continuing Claims,CCSA,Labor Market,Employment,Thousands of Persons,Weekly,2177000,2016-05-14,,-0.3661327231121282,-1.1802088061734
Continuing Claims,CCSA,Labor Market,Employment,Thousands of Persons,Weekly,2186000,2016-05-21,,0.41341295360587965,0.27522935779816515
Continuing Claims,CCSA,Labor Market,Employment,Thousands of Persons,Weekly,2131000,2016-05-28,,-2.516010978956999,-3.2682705401724923
Continuing Claims,CCSA,Labor Market,Employment,Thousands of Persons,Weekly,2170000,2016-06-04,,1.8301267010793054,0.3236245954692557
Continuing Claims,CCSA,Labor Market,Employment,Thousands of Persons,Weekly,2158000,2016-06-11,,-0.5529953917050692,0.9354536950420954
Continuing Claims,CCSA,Labor Market,Employment,Thousands of Persons,Weekly,2160000,2016-06-18,,0.09267840593141798,-0.23094688221709006
Continuing Claims,CCSA,Labor Market,Employment,Thousands of Persons,Weekly,2139000,2016-06-25,,-0.9722222222222222,-0.5578800557880056
Continuing Claims,CCSA,Labor Market,Employment,Thousands of Persons,Weekly,2131000,2016-07-02,,-0.3740065451145395,-0.3740065451145395
Continuing Claims,CCSA,Labor Market,Employment,Thousands of Persons,Weekly,2125000,2016-07-09,,-0.28155795401220085,-0.468384074941452
Continuing Claims,CCSA,Labor Market,Employment,Thousands of Persons,Weekly,2140000,2016-07-16,,0.7058823529411765,0.14038371548900327
Continuing Claims,CCSA,Labor Market,Employment,Thousands of Persons,Weekly,2134000,2016-07-23,,-0.2803738317757009,-2.244617498854787
Continuing Claims,CCSA,Labor Market,Employment,Thousands of Persons,Weekly,2143000,2016-07-30,,0.4217432052483599,-1.9221967963386728
Continuing Claims,CCSA,Labor Market,Employment,Thousands of Persons,Weekly,2157000,2016-08-06,,0.6532897806812878,-0.9186954524575103
Continuing Claims,CCSA,Labor Market,Employment,Thousands of Persons,Weekly,2137000,2016-08-13,,-0.927213722763097,-2.241537053979872
Continuing Claims,CCSA,Labor Market,Employment,Thousands of Persons,Weekly,2148000,2016-08-20,,0.5147402901263454,0.7977475363679024
Continuing Claims,CCSA,Labor Market,Employment,Thousands of Persons,Weekly,2138000,2016-08-27,,-0.4655493482309125,-1.4746543778801844
Continuing Claims,CCSA,Labor Market,Employment,Thousands of Persons,Weekly,2149000,2016-09-03,,0.5144995322731525,-0.41705282669138094
Continuing Claims,CCSA,Labor Market,Employment,Thousands of Persons,Weekly,2110000,2016-09-10,,-1.8147975802698928,-2.314814814814815
Continuing Claims,CCSA,Labor Market,Employment,Thousands of Persons,Weekly,2098000,2016-09-17,,-0.5687203791469194,-1.916783543712015
Continuing Claims,CCSA,Labor Market,Employment,Thousands of Persons,Weekly,2081000,2016-09-24,,-0.8102955195424213,-2.346316283435007
Continuing Claims,CCSA,Labor Market,Employment,Thousands of Persons,Weekly,2080000,2016-10-01,,-0.04805382027871216,-2.1176470588235294
Continuing Claims,CCSA,Labor Market,Employment,Thousands of Persons,Weekly,2081000,2016-10-08,,0.04807692307692308,-2.7570093457943927
Continuing Claims,CCSA,Labor Market,Employment,Thousands of Persons,Weekly,2069000,2016-10-15,,-0.5766458433445458,-3.0459231490159326
Continuing Claims,CCSA,Labor Market,Employment,Thousands of Persons,Weekly,2066000,2016-10-22,,-0.14499758337361043,-3.5930937937470833
Continuing Claims,CCSA,Labor Market,Employment,Thousands of Persons,Weekly,2067000,2016-10-29,,0.0484027105517909,-4.172461752433936
Continuing Claims,CCSA,Labor Market,Employment,Thousands of Persons,Weekly,2046000,2016-11-05,,-1.0159651669085632,-4.258306036499766
Continuing Claims,CCSA,Labor Market,Employment,Thousands of Persons,Weekly,2045000,2016-11-12,,-0.04887585532746823,-4.795158286778398
Continuing Claims,CCSA,Labor Market,Employment,Thousands of Persons,Weekly,2050000,2016-11-19,,0.24449877750611246,-4.11599625818522
